permin,dbcons,inbounds,indns,inhttp,inhttps,inmail,meanbytes,meancapbytes,meanepoch,meaniplen,meanttl,numcons,numdstports,numsrcports,outbounds,outdns,outhttp,outhttps,outmail,totalbytes,totalcapbytes,totalepoch,totaliplen,totalttl,undstips,undstports,unsrcips,unsrcports
"Apr 13, 2011 21:56",0,15446,0,0,486,0,475.41910119542285,475.41910119542285,1302728187.9141905,464.7396223975171,128.95415750678907,15643,13014,13014,197,0,0,696,0,7436981,7436981,20378577043541.684,7187663.0,1994405.0,144,206,149,209
"Apr 13, 2011 21:57",0,19162,0,0,448,0,773.819393501059,773.819393501059,1302728255.3160062,764.3316666666667,104.65458333333333,19357,17731,17731,195,0,0,586,0,14978822,14978822,25216910838151.93,14675168.0,2009368.0,146,196,146,197
"Apr 13, 2011 21:58",0,12801,0,0,576,0,501.2466779975278,501.2466779975278,1302728307.6872952,490.10601450971217,119.46563694515953,12944,11611,11611,143,0,0,812,0,6488137,6488137,16862515214704.35,6282669.0,1531430.0,146,207,149,208
"Apr 13, 2011 21:59",0,10268,0,0,406,0,546.2076291646548,546.2076291646548,1302728370.5544136,533.7135639331519,114.18052856587641,10355,9538,9538,87,0,0,526,0,5655980,5655980,13489752277090.951,5492980.0,1175146.0,142,183,141,182
"Apr 13, 2011 22:00",0,10128,0,0,500,0,337.29990291262135,337.29990291262135,1302728429.2025332,325.89268821442647,128.4113125739062,10300,8928,8928,172,0,0,696,0,3474189,3474189,13418102820786.092,3307159.0,1303118.0,146,200,146,200
"Apr 13, 2011 22:01",0,17277,0,0,690,0,431.89116818939266,431.89116818939266,1302728493.5201569,418.4374385944634,123.38056984337976,17403,15213,15213,126,0,0,1030,0,7516202,7516202,22671383972731.29,7240223.0,2134854.0,147,255,145,255
"Apr 13, 2011 22:02",0,11276,0,0,556,0,326.19891674674585,326.19891674674585,1302728549.7433243,314.2643046944198,131.42674933569532,11447,9906,9906,171,0,0,796,0,3733999,3733999,14912333708911.832,3548044.0,1483808.0,148,218,145,220
"Apr 13, 2011 22:03",0,12972,0,0,566,0,319.80135940125245,319.80135940125245,1302728608.82177,306.577675134719,151.44003079291764,13094,9731,9731,122,0,0,873,0,4187479,4187479,17057928403912.256,3982444.0,1967206.0,150,206,151,208
"Apr 13, 2011 22:04",0,13311,0,0,564,0,317.1278454986048,317.1278454986048,1302728669.4192386,307.211205280132,147.87617190429762,13618,10244,10244,307,0,0,830,0,4318647,4318647,17740559020151.19,4096047.0,1971633.0,145,226,145,228
"Apr 13, 2011 22:05",0,11252,0,0,574,0,315.9612924661517,315.9612924661517,1302728727.8713133,317.9687694082158,146.99307958477507,12039,8750,8750,787,0,0,804,0,3803858,3803858,15683551154842.74,3583826.0,1656759.0,143,204,142,201
"Apr 13, 2011 22:06",0,10164,0,0,530,0,347.4300115207373,347.4300115207373,1302728792.9074044,338.4713332024347,135.0516395052032,10416,8666,8666,252,0,0,716,0,3618831,3618831,13569223106923.523,3447669.0,1375636.0,148,203,146,203
"Apr 13, 2011 22:07",0,10181,0,0,582,0,342.50148510108266,342.50148510108266,1302728851.3237636,332.4297859865142,127.96970585361086,10437,9330,9330,256,0,0,792,0,3574688,3574688,13596581021266.121,3401754.0,1309514.0,146,225,146,224
"Apr 13, 2011 22:08",0,11678,0,0,596,0,330.12546468401484,330.12546468401484,1302728911.2141418,317.8541987343937,130.38224730631092,11836,10236,10236,158,0,0,854,0,3907365,3907365,15419099393130.584,3716987.0,1524690.0,149,223,153,220
"Apr 13, 2011 22:09",0,10030,0,0,528,0,352.3026864513626,352.3026864513626,1302728968.3400893,339.4637752104954,128.83826121010378,10311,8954,8954,281,0,0,760,0,3632593,3632593,13432438392554.66,3467283.0,1315954.0,147,204,147,201
"Apr 13, 2011 22:10",0,9919,0,0,474,0,344.645417535498,344.645417535498,1302729031.6745636,332.88467344268895,129.4545637516353,10071,8734,8734,152,0,0,702,0,3470924,3470924,13119784077994.531,3307875.0,1286390.0,147,199,149,199
"Apr 13, 2011 22:11",0,13068,0,0,516,0,497.1191836113015,497.1191836113015,1302729093.2910218,483.2295107033639,116.68394495412844,13131,12103,12103,63,0,0,710,0,6527672,6527672,17106135724004.406,6320642.0,1526226.0,143,203,143,203
"Apr 13, 2011 22:12",0,8160,0,0,354,0,366.97960168980086,366.97960168980086,1302729150.9126098,355.1087222086489,126.21573418030785,8285,7404,7404,125,0,0,516,0,3040426,3040426,10793111015310.973,2906920.0,1033202.0,144,183,146,181
"Apr 13, 2011 22:13",0,8498,0,0,380,0,359.41516245487367,359.41516245487367,1302729213.052088,346.6792852104397,126.6099224077122,8587,7528,7528,89,0,0,550,0,3086298,3086298,11186535752478.28,2948854.0,1076944.0,143,182,144,181
"Apr 13, 2011 22:14",0,12534,48,10,634,0,325.50096353965927,325.50096353965927,1302729270.6511312,315.44830841856805,132.51093627065302,12973,10688,10688,439,40,8,958,0,4222724,4222724,16900306828157.125,4009348.0,1684214.0,150,232,146,229
"Apr 13, 2011 22:15",0,12865,0,0,536,0,310.37565396802006,310.37565396802006,1302729332.7416432,308.39366410435593,140.48039444056215,13571,10492,10492,706,0,0,772,0,4212108,4212108,17679339774636.84,3971802.0,1809247.0,145,221,146,223
"Apr 13, 2011 22:16",0,15593,0,0,656,0,293.8590047393365,293.8590047393365,1302729389.7664797,284.37395307205423,153.30720542164823,16036,11576,11576,443,0,0,1012,0,4712323,4712323,20890568494295.27,4447893.0,2397878.0,149,252,147,251
"Apr 13, 2011 22:17",0,9969,0,0,556,0,341.3411718596904,341.3411718596904,1302729451.764165,332.1044462247146,139.62777889044662,10206,7918,7918,237,0,0,718,0,3483728,3483728,13295656784705.068,3316395.0,1394323.0,147,189,146,190
"Apr 13, 2011 22:18",0,11074,0,0,478,0,327.9749065670048,327.9749065670048,1302729508.402823,316.1947700631199,144.06411181244366,11238,8576,8576,164,0,0,684,0,3685782,3685782,14640074215430.926,3506600.0,1597671.0,148,189,147,191
"Apr 13, 2011 22:19",0,12209,0,0,466,0,331.6143472256073,331.6143472256073,1302729574.4522815,318.14992638638967,144.46057582201865,12309,9530,9530,100,0,0,704,0,4081841,4081841,16035298331933.133,3889701.0,1766175.0,144,206,145,209
"Apr 13, 2011 22:20",0,7933,0,0,410,0,372.73325892857144,372.73325892857144,1302729628.1194184,361.5230730541934,133.02640513013958,8064,6676,6676,131,0,0,518,0,3005721,3005721,10505211721154.99,2875193.0,1057959.0,142,184,147,185
"Apr 13, 2011 22:21",0,12139,0,0,388,0,524.1540978243089,524.1540978243089,1302729696.282969,511.59996707547947,120.18832825746975,12226,10790,10790,87,0,0,520,0,6408308,6408308,15927173266755.58,6215428.0,1460168.0,142,189,142,189
"Apr 13, 2011 22:22",0,11344,0,0,470,0,337.2511308281141,337.2511308281141,1302729757.077236,324.10608985608985,129.74798174798175,11496,10226,10226,152,0,0,698,0,3877039,3877039,14976181287359.904,3693513.0,1478608.0,145,228,148,228
"Apr 13, 2011 22:23",0,11957,0,0,570,0,318.48953009068424,318.48953009068424,1302729807.553492,305.5142024156601,131.43423573511038,12130,10492,10492,173,0,0,844,0,3863278,3863278,15802112565623.86,3667698.0,1577868.0,152,231,147,227
"Apr 13, 2011 22:24",0,11105,0,0,496,0,338.0015135327635,338.0015135327635,1302729872.3548744,325.1331475321406,130.18915760136653,11232,9960,9960,127,0,0,736,0,3796433,3796433,14632261926289.95,3616456.0,1448094.0,150,223,150,223
"Apr 13, 2011 22:25",0,11614,0,0,586,0,331.003078202995,331.003078202995,1302729931.7821681,324.5185726569218,131.8830610490112,12020,10156,10156,406,0,0,900,0,3978657,3978657,15658813780021.662,3774151.0,1533800.0,148,224,149,222
"Apr 13, 2011 22:26",0,9385,0,0,464,0,337.8564879410006,337.8564879410006,1302729990.9525006,341.1076104310804,129.69866950505588,10034,8268,8268,649,0,0,674,0,3390052,3390052,13071592729217.39,3204706.0,1218519.0,142,200,140,199
"Apr 13, 2011 22:27",0,9422,0,0,398,0,350.6935000516689,350.6935000516689,1302730053.5149808,342.71078846969056,139.57280627384486,9677,7596,7596,255,0,0,548,0,3393661,3393661,12606518727864.469,3233819.0,1317009.0,144,189,146,190
"Apr 13, 2011 22:28",0,11681,0,0,598,0,326.6113077182339,326.6113077182339,1302730113.0639706,315.03025382445946,146.282710879412,11868,8906,8906,187,0,0,830,0,3876223,3876223,15460800981843.203,3686169.0,1711654.0,146,210,146,208
"Apr 13, 2011 22:29",0,11212,0,0,536,0,331.40516709284896,331.40516709284896,1302730168.4800715,318.5872507122507,143.7238247863248,11341,8860,8860,129,0,0,754,0,3758466,3758466,14774262840732.49,3578372.0,1614306.0,143,207,142,203
"Apr 13, 2011 22:30",0,10633,0,0,520,0,333.3000092652645,333.3000092652645,1302730228.107111,321.60633101634414,142.40663159872253,10793,8366,8366,160,0,0,694,0,3597307,3597307,14060367351960.049,3423821.0,1516061.0,147,199,147,198
"Apr 13, 2011 22:31",0,12538,0,0,480,0,502.40533501696785,502.40533501696785,1302730294.4839694,490.19627951347485,123.42054217346372,12671,10691,10691,133,0,0,620,0,6365978,6365978,16506895561406.377,6166179.0,1552507.0,148,196,147,196
"Apr 13, 2011 22:32",0,10069,0,0,416,0,355.8612332649272,355.8612332649272,1302730352.2943368,344.8352999504214,137.90550322260782,10233,8017,8017,164,0,0,584,0,3641528,3641528,13330839695027.947,3477664.0,1390777.0,147,192,150,191
"Apr 13, 2011 22:33",0,9426,0,0,432,0,355.4624803767661,355.4624803767661,1302730406.1095192,343.51408599872906,135.08186824825248,9555,7774,7774,129,0,0,566,0,3396444,3396444,12447589030376.457,3243460.0,1275443.0,146,189,148,189
"Apr 13, 2011 22:34",0,10819,0,0,542,0,339.7624279044219,339.7624279044219,1302730472.1783211,326.56632511769595,129.32022523769962,10923,9628,9628,104,0,0,766,0,3711225,3711225,14229724947603.8,3537693.0,1400926.0,145,208,147,210
"Apr 13, 2011 22:35",0,9948,0,0,556,0,334.6250493485985,334.6250493485985,1302730534.42306,323.7209278971681,129.90861618798957,10132,8588,8588,184,0,0,792,0,3390421,3390421,13199265774774.443,3223613.0,1293630.0,144,206,143,208
"Apr 13, 2011 22:36",0,9089,0,0,492,0,337.8433288756301,337.8433288756301,1302730590.5760949,341.0676848697945,127.98307878255137,9721,8254,8254,632,0,0,692,0,3284175,3284175,12663844070990.219,3104057.0,1164774.0,145,200,146,199
"Apr 13, 2011 22:37",0,9110,0,0,522,0,354.4102186711522,354.4102186711522,1302730650.1364424,350.1269927931863,128.9670233675475,9512,8218,8218,402,0,0,740,0,3371150,3371150,12391573944097.84,3206463.0,1181080.0,145,192,146,192
"Apr 13, 2011 22:38",0,12060,0,0,612,0,325.42855982454716,325.42855982454716,1302730707.066964,314.95702930948835,131.81992051664182,12311,10562,10562,251,0,0,908,0,4006351,4006351,16037917734701.393,3804051.0,1592121.0,149,218,147,219
"Apr 13, 2011 22:39",0,14644,0,0,592,0,314.7970534567818,314.7970534567818,1302730768.5921133,301.78884190424225,147.51957441003955,14797,11184,11184,153,0,0,900,0,4658052,4658052,19276507182857.5,4424828.0,2162932.0,146,218,147,219
"Apr 13, 2011 22:40",0,12568,0,0,544,0,324.89334907516724,324.89334907516724,1302730832.535719,312.12432432432433,148.17861685214626,12705,9610,9610,137,0,0,838,0,4127770,4127770,16551195227366.309,3926524.0,1864087.0,149,215,148,215
"Apr 13, 2011 22:41",0,14483,0,0,662,0,427.4907019831195,427.4907019831195,1302730893.7364178,413.9255018279644,138.4146375112092,14573,11650,11650,90,0,0,946,0,6229822,6229822,18984697314420.816,6000678.0,2006597.0,146,219,144,219
"Apr 13, 2011 22:42",0,16180,0,0,694,0,339.5335048389073,339.5335048389073,1302730947.2571132,326.4639901173564,149.11327980234714,16326,12404,12404,146,0,0,1092,0,5543224,5543224,21268385444919.63,5285452.0,2414144.0,145,250,144,250
"Apr 13, 2011 22:43",0,12786,0,0,610,0,319.5923309788093,319.5923309788093,1302731013.6382828,305.82315263240116,150.3866583346352,12883,9710,9710,97,0,0,964,0,4117308,4117308,16783083648701.998,3915148.0,1925250.0,145,211,145,213
"Apr 13, 2011 22:44",0,14544,0,0,628,0,311.5505357264724,311.5505357264724,1302731067.3889256,297.6582669596265,150.06838780554793,14653,11144,11144,109,0,0,1006,0,4565150,4565150,19088918330449.926,4335095.0,2185596.0,143,245,147,245
"Apr 13, 2011 22:45",0,12762,0,0,616,0,311.6490414347557,311.6490414347557,1302731129.175637,299.2725422667502,146.45616781465247,12936,10144,10144,174,0,0,960,0,4031492,4031492,16852129887016.041,3823506.0,1871124.0,144,226,143,226
"Apr 13, 2011 22:46",0,10574,0,0,632,0,334.0385070550751,334.0385070550751,1302731191.1066468,328.4016037735849,132.02,10985,9374,9374,411,0,0,958,0,3669413,3669413,14310502134306.514,3481057.0,1399412.0,145,212,147,213
"Apr 13, 2011 22:47",0,12340,0,0,764,0,307.0153905348211,307.0153905348211,1302731250.840404,304.2637674117266,134.24603174603175,12995,10802,10802,655,0,0,1148,0,3989665,3989665,16928992604671.05,3757049.0,1657670.0,145,234,146,234
"Apr 13, 2011 22:48",0,15516,0,0,804,0,294.9861560932241,294.9861560932241,1302731307.9123445,282.56154242307196,137.13724732844085,15747,13686,13686,231,0,0,1318,0,4645147,4645147,20514109905695.688,4389311.0,2130290.0,149,265,151,264
"Apr 13, 2011 22:49",0,10577,0,0,512,0,333.32618384401115,333.32618384401115,1302731369.8680725,322.2438863185724,130.5759607213672,10770,9506,9506,193,0,0,770,0,3589923,3589923,14030416853479.14,3412885.0,1382930.0,143,219,144,219
"Apr 13, 2011 22:50",0,13226,0,0,750,0,303.6951255980861,303.6951255980861,1302731429.0246022,290.169394373633,140.24941549136435,13376,11478,11478,150,0,0,1228,0,4062226,4062226,17425335594633.08,3847356.0,1859567.0,143,246,141,246
"Apr 13, 2011 22:51",0,15137,0,0,640,0,404.43587555788923,404.43587555788923,1302731490.4566302,390.67469482019135,139.02071923457603,15236,12417,12417,99,0,0,930,0,6161985,6161985,19848416988597.22,5920675.0,2106859.0,145,235,147,233
"Apr 13, 2011 22:52",0,11949,0,0,606,0,375.849342268553,375.849342268553,1302731551.9628694,362.7133333333333,145.17033333333333,12087,9309,9309,138,0,0,892,0,4542891,4542891,15746116268575.201,4352560.0,1742044.0,146,213,144,211
"Apr 13, 2011 22:53",0,16193,0,0,720,0,290.8300585794484,290.8300585794484,1302731611.1087685,277.8108474576271,155.68832049306624,16388,11690,11690,195,0,0,1136,0,4766123,4766123,21349165642850.496,4507481.0,2526043.0,148,237,147,238
"Apr 13, 2011 22:54",0,18035,0,0,804,0,278.4823516435032,278.4823516435032,1302731670.397947,264.16423782346095,159.5378179198759,18132,12872,12872,97,0,0,1304,0,5049442,5049442,23621130647655.58,4767372.0,2879179.0,145,254,145,255
"Apr 13, 2011 22:55",0,18788,0,0,788,0,286.8574292950612,286.8574292950612,1302731730.9738922,273.36563829787235,158.58005319148936,18952,13628,13628,164,0,0,1314,0,5436522,5436522,24689371765417.207,5139274.0,2981305.0,147,263,147,262
"Apr 13, 2011 22:56",0,13911,0,0,626,0,301.0868491604346,301.0868491604346,1302731789.8584564,289.94823005672436,152.11660802757234,14174,10446,10446,263,0,0,946,0,4267605,4267605,18464920389453.76,4038109.0,2118528.0,143,233,147,232
"Apr 13, 2011 22:57",0,13181,0,0,672,0,299.6792164287795,299.6792164287795,1302731851.6073267,293.48483473262235,149.93631344073822,13732,10134,10134,551,0,0,1038,0,4115195,4115195,17889113786271.812,3880163.0,1982308.0,145,223,146,223
"Apr 13, 2011 22:58",0,14385,0,0,822,0,297.1614911034436,297.1614911034436,1302731911.543759,287.50662412429773,137.21023791357425,14781,12558,12558,396,0,0,1278,0,4392344,4392344,19255680384528.305,4144983.0,1978160.0,147,256,150,257
"Apr 13, 2011 22:59",0,11728,0,0,546,0,317.0470993199563,317.0470993199563,1302731965.6863341,305.02333901192503,133.42964224872233,11911,10510,10510,183,0,0,874,0,3776348,3776348,15516840443289.926,3580974.0,1566464.0,143,240,142,239
"Apr 13, 2011 23:00",0,10201,0,0,512,0,351.96799691536535,351.96799691536535,1302732025.7986739,340.92530592266274,129.3264806656877,10374,9030,9030,173,0,0,760,0,3651316,3651316,13514542035635.443,3482552.0,1321070.0,144,207,146,207
"Apr 13, 2011 23:01",0,12588,0,0,510,0,458.35139805215204,458.35139805215204,1302732092.3173018,446.2051972745999,118.90587862462367,12732,11400,11400,144,0,0,694,0,5835730,5835730,16586384999383.887,5632002.0,1500830.0,146,213,147,213
"Apr 13, 2011 23:02",0,12331,0,0,574,0,370.56035517158625,370.56035517158625,1302732152.1032357,358.92500202478334,129.0296428282174,12501,10934,10934,170,0,0,826,0,4632375,4632375,16285454633442.55,4431647.0,1593129.0,145,216,143,216
"Apr 13, 2011 23:03",0,12543,0,0,546,0,321.54432680151706,321.54432680151706,1302732210.874718,308.111995542466,148.8530605747035,12656,9502,9502,113,0,0,820,0,4069465,4069465,16487378860830.432,3870811.0,1870041.0,146,214,150,210
"Apr 13, 2011 23:04",0,17143,0,0,720,0,291.22853337965375,291.22853337965375,1302732269.962674,277.1873507658261,154.17086948925515,17271,12734,12734,128,0,0,1112,0,5029808,5029808,22499489034525.34,4759584.0,2647268.0,148,258,148,255
"Apr 13, 2011 23:05",0,9808,0,0,506,0,340.5294948068972,340.5294948068972,1302732330.225934,327.0300599167259,144.54493754442979,9917,7674,7674,109,0,0,714,0,3377031,3377031,12919196518850.588,3220265.0,1423334.0,147,199,145,196
"Apr 13, 2011 23:06",0,9603,0,0,544,0,352.6662590441251,352.6662590441251,1302732394.9410064,343.198751950078,140.0941237649506,9813,7780,7780,210,0,0,708,0,3460714,3460714,12783712991556.096,3299856.0,1347005.0,146,193,144,193
"Apr 13, 2011 23:07",0,11741,0,0,532,0,318.9966609658767,318.9966609658767,1302732450.0893261,314.17015684612124,148.36803730394234,12279,9152,9152,538,0,0,836,0,3916960,3916960,15996251754646.836,3705637.0,1750001.0,145,213,145,213
"Apr 13, 2011 23:08",0,18521,0,0,730,0,292.34351466638583,292.34351466638583,1302732509.1146574,282.59758399396,155.3847273903899,18989,13388,13388,468,0,0,1204,0,5551311,5551311,24737587615578.23,5240207.0,2881299.0,147,268,151,263
"Apr 13, 2011 23:09",0,11999,0,0,526,0,315.00081063553824,315.00081063553824,1302732569.481005,306.1256135096914,142.70543216038598,12336,9772,9772,337,0,0,840,0,3885850,3885850,16070508977117.676,3679936.0,1715462.0,147,219,145,218
"Apr 13, 2011 23:10",0,47653,0,0,714,0,1010.1031067556297,1010.1031067556297,1302732640.6564686,1000.5245485623204,88.9073635200604,47960,46355,46355,307,0,0,1030,0,48444545,48444545,62479057445884.234,47706011.0,4239192.0,147,213,149,212
"Apr 13, 2011 23:11",0,35887,0,0,852,0,827.0475013194811,827.0475013194811,1302732687.9980373,813.7984623527118,97.89448174043845,35999,34449,34449,112,0,0,1234,0,29772883,29772883,46897074035241.34,29214551.0,3514314.0,144,246,144,246
"Apr 13, 2011 23:12",0,16468,0,0,572,0,593.5961538461538,593.5961538461538,1302732749.2803397,581.1244845985933,112.59155954402134,16588,15315,15315,120,0,0,900,0,9846573,9846573,21609730845062.273,9583905.0,1856860.0,145,209,144,209
"Apr 13, 2011 23:13",0,14729,0,0,586,0,494.3406031233172,494.3406031233172,1302732811.8854856,482.0248253408397,118.98066879196907,14856,13394,13394,127,0,0,904,0,7343924,7343924,19353398653370.773,7106492.0,1754132.0,145,222,147,222
"Apr 13, 2011 23:14",0,15208,0,0,542,0,486.7593729588504,486.7593729588504,1302732866.96125,473.4097058050959,119.67717362752823,15310,14000,14000,102,0,0,842,0,7452286,7452286,19944840193176.74,7209083.0,1822444.0,143,233,141,230
"Apr 13, 2011 23:15",0,15143,0,0,436,0,498.4784146740911,498.4784146740911,1302732931.5013888,486.2114534538497,127.28904136702513,15265,12772,12772,122,0,0,666,0,7609273,7609273,19886218199368.7,7369507.0,1929320.0,144,199,145,198
"Apr 13, 2011 23:16",0,13949,0,0,456,0,511.234623015873,511.234623015873,1302732988.5727766,500.02510909220973,123.3853637599256,14112,11988,11988,163,0,0,634,0,7214543,7214543,18384167934739.023,6989851.0,1724804.0,149,201,146,201
"Apr 13, 2011 23:17",0,15441,0,0,476,0,477.06621553250693,477.06621553250693,1302733049.5965889,470.8907492404163,128.04796690154504,15812,12940,12940,371,0,0,730,0,7543371,7543371,20598814980221.26,7284209.0,1980774.0,146,199,145,199
"Apr 13, 2011 23:18",0,13394,0,0,440,0,510.11605471562274,510.11605471562274,1302733109.597473,510.67710430179676,122.45165138298665,13890,11512,11512,496,0,0,614,0,7085512,7085512,18094962892308.9,6849712.0,1642444.0,148,185,147,185
"Apr 13, 2011 23:19",0,14197,0,0,402,0,499.73813296589736,499.73813296589736,1302733171.5118747,493.48336498558064,125.16009003305902,14515,12046,12046,318,0,0,608,0,7253699,7253699,18909171984494.86,7015853.0,1779401.0,145,194,145,194
"Apr 13, 2011 23:20",0,20358,0,0,416,0,801.103277734678,801.103277734678,1302733235.4845283,794.5936902016584,105.51597075707767,20624,18550,18550,266,0,0,586,0,16521954,16521954,26867570248632.914,16194614.0,2150521.0,144,188,148,188
"Apr 13, 2011 23:21",0,14674,0,0,408,0,596.2100524123101,596.2100524123101,1302733292.5689409,587.7963643790849,115.12431917211329,14882,13417,13417,208,0,0,580,0,8872798,8872798,19387276860010.977,8633553.0,1690946.0,144,204,144,204
"Apr 13, 2011 23:22",0,8520,0,0,378,0,457.81563728891973,457.81563728891973,1302733349.689988,445.6772462077013,118.68214702450409,8646,7823,7823,126,0,0,520,0,3958274,3958274,11263432541419.635,3819454.0,1017106.0,143,189,145,189
"Apr 13, 2011 23:23",0,8924,0,0,424,0,358.61130587204207,358.61130587204207,1302733408.2948184,349.1426335792533,127.71093226022803,9128,7738,7738,204,0,0,612,0,3273404,3273404,11891350550915.102,3123430.0,1142502.0,148,184,145,183
"Apr 13, 2011 23:24",0,9556,0,0,430,0,357.21574917218544,357.21574917218544,1302733471.4998746,344.5854754440961,126.81442006269593,9664,8592,8592,108,0,0,610,0,3452133,3452133,12589616268574.79,3297683.0,1213614.0,144,194,145,193
"Apr 13, 2011 23:25",0,9131,0,0,412,0,371.55303276029844,371.55303276029844,1302733529.229003,359.688806215122,126.5072765072765,9249,8130,8130,118,0,0,600,0,3436494,3436494,12048982411839.049,3287196.0,1156150.0,144,193,145,192
"Apr 13, 2011 23:26",0,9579,0,0,478,0,360.2991435352389,360.2991435352389,1302733589.3076043,347.7713958094444,127.25330970499323,9691,8640,8640,112,0,0,648,0,3491659,3491659,12624791213979.994,3336171.0,1220741.0,144,199,142,199
"Apr 13, 2011 23:27",0,12712,0,0,484,0,321.95198764955614,321.95198764955614,1302733646.6736634,310.85886970172686,145.02307692307693,12955,9993,9993,243,0,0,766,0,4170888,4170888,16876914392657.31,3960342.0,1847594.0,148,219,151,218
"Apr 13, 2011 23:28",0,10184,0,0,480,0,336.90546001315664,336.90546001315664,1302733710.376274,333.24123064863807,139.37918871252205,10641,8196,8196,457,0,0,662,0,3585011,3585011,13862389412113.932,3401060.0,1422504.0,146,187,146,186
