datetime,alert,description,numalerts,undstips,unsrcips
2011-04-13 08:35:08,portscan,TCP Portsweep,1,1,1
2011-04-13 08:35:11,portscan,TCP Portsweep,1,1,1
2011-04-13 08:35:28,portscan,TCP Portscan,1,1,1
2011-04-13 08:35:33,portscan,TCP Portscan,1,1,1
2011-04-13 08:36:28,portscan,TCP Portscan,1,1,1
2011-04-13 08:37:02,portscan,TCP Portsweep,1,1,1
2011-04-13 08:38:12,portscan,TCP Portscan,1,1,1
2011-04-13 08:38:42,portscan,TCP Portscan,1,1,1
2011-04-13 08:40:02,portscan,TCP Portscan,1,1,1
2011-04-13 08:40:27,portscan,TCP Portscan,1,1,1
2011-04-13 08:40:57,portscan,TCP Portscan,1,1,1
2011-04-13 08:41:01,portscan,TCP Portsweep,1,1,1
2011-04-13 08:42:24,portscan,TCP Portscan,1,1,1
2011-04-13 08:43:13,portscan,TCP Portscan,1,1,1
2011-04-13 08:43:16,portscan,TCP Decoy Portscan,1,1,1
2011-04-13 08:44:00,portscan,TCP Portscan,1,1,1
2011-04-13 08:44:16,portscan,TCP Portsweep,2,1,2
2011-04-13 08:44:34,portscan,TCP Portsweep,2,2,1
2011-04-13 08:45:04,portscan,TCP Portscan,1,1,1
2011-04-13 08:45:34,portscan,TCP Portscan,1,1,1
2011-04-13 08:46:34,portscan,TCP Portscan,1,1,1
2011-04-13 08:46:42,portscan,TCP Portscan,1,1,1
2011-04-13 08:47:10,portscan,TCP Portsweep,2,1,1
2011-04-13 08:47:19,portscan,TCP Portsweep,1,1,1
2011-04-13 08:47:28,portscan,TCP Portscan,1,1,1
2011-04-13 08:48:25,portscan,TCP Portscan,1,1,1
2011-04-13 08:48:31,portscan,TCP Portscan,1,1,1
2011-04-13 08:49:20,portscan,TCP Portsweep,1,1,1
2011-04-13 08:49:26,portscan,TCP Portsweep,2,1,1
2011-04-13 08:50:06,portscan,TCP Portscan,1,1,1
2011-04-13 08:50:40,portscan,TCP Portsweep,1,1,1
2011-04-13 08:50:51,portscan,TCP Portscan,1,1,1
2011-04-13 08:50:52,portscan,TCP Portscan,2,2,1
2011-04-13 08:51:51,portscan,TCP Portscan,1,1,1
2011-04-13 08:51:55,portscan,TCP Portscan,1,1,1
2011-04-13 08:52:15,portscan,TCP Distributed Portscan,1,1,1
2011-04-13 08:52:21,portscan,TCP Portsweep,1,1,1
2011-04-13 08:53:20,portscan,TCP Portscan,1,1,1
2011-04-13 08:53:45,portscan,TCP Portscan,1,1,1
2011-04-13 08:54:07,portscan,TCP Portscan,1,1,1
2011-04-13 08:54:13,portscan,TCP Portsweep,1,1,1
2011-04-13 08:54:45,portscan,TCP Portscan,1,1,1
2011-04-13 08:55:01,portscan,TCP Portscan,1,1,1
2011-04-13 08:55:12,portscan,TCP Portscan,1,1,1
2011-04-13 08:55:15,portscan,TCP Portscan,1,1,1
2011-04-13 08:55:37,portscan,TCP Portsweep,1,1,1
2011-04-13 08:55:38,portscan,TCP Portsweep,1,1,1
2011-04-13 08:56:12,portscan,TCP Portscan,1,1,1
2011-04-13 08:56:19,portscan,TCP Portscan,1,1,1
2011-04-13 08:56:20,portscan,TCP Portscan,1,1,1
2011-04-13 08:57:12,portscan,TCP Portscan,1,1,1
2011-04-13 08:57:20,portscan,TCP Portscan,1,1,1
2011-04-13 08:57:54,portscan,TCP Portscan,1,1,1
2011-04-13 08:58:24,portscan,TCP Portscan,1,1,1
2011-04-13 08:59:25,portscan,TCP Portscan,2,2,1
2011-04-13 08:59:33,portscan,TCP Distributed Portscan,1,1,1
2011-04-13 08:59:40,portscan,TCP Portsweep,1,1,1
2011-04-13 08:59:44,portscan,TCP Portscan,1,1,1
2011-04-13 09:00:26,portscan,TCP Portsweep,1,1,1
2011-04-13 09:00:34,portscan,TCP Portscan,1,1,1
2011-04-13 09:00:43,portscan,TCP Portsweep,2,1,1
2011-04-13 09:02:00,portscan,TCP Portscan,1,1,1
2011-04-13 09:02:37,portscan,TCP Portscan,1,1,1
2011-04-13 09:02:56,portscan,TCP Portscan,1,1,1
2011-04-13 09:03:21,portscan,TCP Portsweep,1,1,1
2011-04-13 09:03:31,portscan,TCP Portscan,1,1,1
2011-04-13 09:04:00,portscan,TCP Portscan,1,1,1
2011-04-13 09:05:20,portscan,TCP Portscan,1,1,1
2011-04-13 09:05:57,portscan,TCP Portscan,1,1,1
2011-04-13 09:07:17,portscan,TCP Portscan,1,1,1
2011-04-13 09:08:20,portscan,TCP Portscan,1,1,1
2011-04-13 09:08:33,portscan,TCP Portscan,1,1,1
2011-04-13 09:09:34,portscan,TCP Portscan,1,1,1
2011-04-13 09:09:54,portscan,TCP Portscan,1,1,1
2011-04-13 09:10:35,portscan,TCP Portscan,1,1,1
2011-04-13 09:10:39,portscan,TCP Portscan,1,1,1
2011-04-13 09:11:33,portscan,TCP Portscan,1,1,1
2011-04-13 09:11:39,portscan,TCP Portscan,1,1,1
2011-04-13 09:12:49,portscan,TCP Portscan,1,1,1
2011-04-13 09:14:23,portscan,TCP Portscan,1,1,1
2011-04-13 09:14:27,portscan,TCP Portsweep,2,1,1
2011-04-13 09:14:58,portscan,TCP Portscan,1,1,1
2011-04-13 09:16:31,portscan,TCP Portscan,1,1,1
2011-04-13 09:17:20,portscan,TCP Portscan,1,1,1
2011-04-13 09:17:23,portscan,TCP Portscan,1,1,1
2011-04-13 09:18:29,portscan,TCP Portscan,1,1,1
2011-04-13 09:19:14,portscan,TCP Portscan,1,1,1
2011-04-13 09:20:25,portscan,TCP Portscan,1,1,1
2011-04-13 09:21:09,portscan,TCP Portscan,1,1,1
2011-04-13 09:21:26,portscan,TCP Portscan,1,1,1
2011-04-13 09:21:41,portscan,TCP Portsweep,1,1,1
2011-04-13 09:22:57,portscan,TCP Portscan,1,1,1
2011-04-13 09:23:23,portscan,TCP Portscan,1,1,1
2011-04-13 09:25:25,portscan,TCP Portscan,1,1,1
2011-04-13 09:25:34,portscan,TCP Portscan,1,1,1
2011-04-13 09:26:40,portscan,TCP Portscan,1,1,1
2011-04-13 09:27:04,portscan,TCP Portscan,2,2,2
2011-04-13 09:27:49,portscan,TCP Portscan,1,1,1
2011-04-13 09:28:49,portscan,TCP Portscan,1,1,1
2011-04-13 09:29:46,portscan,TCP Portscan,1,1,1
2011-04-13 09:31:06,portscan,TCP Portscan,1,1,1
2011-04-13 09:31:49,portscan,TCP Portscan,1,1,1
2011-04-13 09:32:06,portscan,TCP Portscan,1,1,1
2011-04-13 09:32:07,portscan,TCP Portscan,1,1,1
2011-04-13 09:33:15,portscan,TCP Portscan,1,1,1
2011-04-13 09:33:40,portscan,TCP Portscan,1,1,1
2011-04-13 09:34:07,portscan,TCP Portsweep,1,1,1
2011-04-13 09:34:15,portscan,TCP Portscan,1,1,1
2011-04-13 09:34:32,portscan,TCP Portscan,1,1,1
2011-04-13 09:35:16,portscan,TCP Portscan,1,1,1
2011-04-13 09:36:17,portscan,TCP Portscan,1,1,1
2011-04-13 09:37:35,portscan,TCP Portscan,1,1,1
2011-04-13 09:39:14,portscan,TCP Distributed Portscan,1,1,1
2011-04-13 09:39:15,portscan,TCP Portscan,1,1,1
2011-04-13 09:39:58,portscan,TCP Portscan,1,1,1
2011-04-13 09:40:40,portscan,TCP Portscan,1,1,1
2011-04-13 09:40:48,portscan,TCP Portscan,1,1,1
2011-04-13 09:41:53,portscan,TCP Portscan,1,1,1
2011-04-13 09:42:38,portscan,TCP Portscan,1,1,1
2011-04-13 09:43:39,portscan,TCP Portscan,1,1,1
2011-04-13 09:44:56,portscan,TCP Portscan,1,1,1
2011-04-13 09:45:58,portscan,TCP Portscan,2,2,1
2011-04-13 09:46:42,portscan,TCP Portsweep,1,1,1
2011-04-13 09:47:01,portscan,TCP Portscan,1,1,1
2011-04-13 09:47:40,portscan,TCP Portscan,1,1,1
2011-04-13 09:47:59,portscan,TCP Portscan,1,1,1
2011-04-13 09:49:06,portscan,TCP Portscan,1,1,1
2011-04-13 09:49:16,portscan,TCP Portsweep,1,1,1
2011-04-13 09:49:25,portscan,TCP Portscan,1,1,1
2011-04-13 09:50:03,portscan,TCP Portscan,1,1,1
2011-04-13 09:51:12,portscan,TCP Portscan,1,1,1
2011-04-13 09:51:25,portscan,TCP Portscan,1,1,1
2011-04-13 09:52:58,portscan,TCP Portscan,1,1,1
2011-04-13 09:53:22,portscan,TCP Portscan,1,1,1
2011-04-13 09:54:37,portscan,TCP Portscan,1,1,1
2011-04-13 09:55:25,portscan,TCP Portscan,1,1,1
2011-04-13 09:56:44,portscan,TCP Portscan,2,2,1
2011-04-13 09:57:09,portscan,TCP Portscan,1,1,1
2011-04-13 09:57:38,portscan,TCP Portscan,1,1,1
2011-04-13 09:58:33,portscan,TCP Portscan,1,1,1
2011-04-13 09:58:50,portscan,TCP Portscan,1,1,1
2011-04-13 09:59:48,portscan,TCP Portscan,1,1,1
2011-04-13 09:59:55,portscan,TCP Portsweep,2,1,1
2011-04-13 10:00:59,portscan,TCP Portscan,1,1,1
2011-04-13 10:01:13,portscan,TCP Portscan,1,1,1
2011-04-13 10:02:03,portscan,TCP Portscan,1,1,1
2011-04-13 10:02:50,portscan,TCP Portscan,2,2,1
2011-04-13 10:03:04,portscan,TCP Portscan,1,1,1
2011-04-13 10:03:59,portscan,TCP Portscan,1,1,1
2011-04-13 10:04:07,portscan,TCP Portscan,1,1,1
2011-04-13 10:05:04,portscan,TCP Portscan,1,1,1
2011-04-13 10:05:34,portscan,TCP Portscan,1,1,1
2011-04-13 10:06:12,portscan,TCP Portscan,1,1,1
2011-04-13 10:06:37,portscan,TCP Portscan,1,1,1
2011-04-13 10:07:25,portscan,TCP Portscan,1,1,1
2011-04-13 10:09:02,portscan,TCP Portscan,2,2,1
2011-04-13 10:09:55,portscan,TCP Portscan,1,1,1
2011-04-13 10:09:58,portscan,TCP Portscan,1,1,1
2011-04-13 10:10:31,portscan,TCP Portscan,1,1,1
2011-04-13 10:11:03,portscan,TCP Portscan,1,1,1
2011-04-13 10:11:46,portscan,TCP Portscan,1,1,1
2011-04-13 10:12:27,portscan,TCP Portscan,1,1,1
2011-04-13 10:12:36,portscan,TCP Portscan,1,1,1
2011-04-13 10:13:38,portscan,TCP Portscan,1,1,1
2011-04-13 10:13:50,portscan,TCP Portscan,1,1,1
2011-04-13 10:14:35,portscan,TCP Portscan,1,1,1
2011-04-13 10:15:04,portscan,TCP Portscan,1,1,1
2011-04-13 10:15:59,portscan,TCP Portscan,1,1,1
2011-04-13 10:16:47,portscan,TCP Portscan,1,1,1
2011-04-13 10:17:11,portscan,TCP Portscan,1,1,1
2011-04-13 10:17:22,portscan,TCP Portscan,1,1,1
2011-04-13 10:18:21,portscan,TCP Portscan,1,1,1
2011-04-13 10:19:27,portscan,TCP Portscan,1,1,1
2011-04-13 10:19:34,portscan,TCP Portscan,1,1,1
2011-04-13 10:20:10,portscan,TCP Portsweep,1,1,1
2011-04-13 10:20:45,portscan,TCP Portscan,1,1,1
2011-04-13 10:22:01,portscan,TCP Portscan,1,1,1
2011-04-13 10:23:18,portscan,TCP Portscan,1,1,1
2011-04-13 10:23:26,portscan,TCP Portscan,1,1,1
2011-04-13 10:24:35,portscan,TCP Portscan,1,1,1
2011-04-13 10:24:56,portscan,TCP Portscan,1,1,1
2011-04-13 10:25:35,portscan,TCP Portscan,1,1,1
2011-04-13 10:26:37,portscan,TCP Portscan,1,1,1
2011-04-13 10:27:45,portscan,TCP Portscan,1,1,1
2011-04-13 10:27:55,portscan,TCP Portscan,1,1,1
2011-04-13 10:28:38,portscan,TCP Portscan,1,1,1
2011-04-13 10:28:41,portscan,TCP Portscan,1,1,1
2011-04-13 10:29:44,portscan,TCP Portscan,1,1,1
2011-04-13 10:30:10,portscan,TCP Portscan,2,2,2
2011-04-13 10:30:17,portscan,TCP Portscan,1,1,1
2011-04-13 10:30:48,portscan,TCP Portscan,1,1,1
2011-04-13 10:32:01,portscan,TCP Portscan,1,1,1
2011-04-13 10:32:29,portscan,TCP Portscan,1,1,1
2011-04-13 10:33:34,portscan,TCP Portscan,1,1,1
2011-04-13 10:33:46,portscan,TCP Portscan,1,1,1
2011-04-13 10:35:10,portscan,TCP Portscan,1,1,1
2011-04-13 10:35:21,portscan,TCP Portscan,1,1,1
2011-04-13 10:35:36,portscan,TCP Portscan,1,1,1
2011-04-13 10:36:26,portscan,TCP Portscan,1,1,1
2011-04-13 10:37:13,portscan,TCP Portscan,1,1,1
2011-04-13 10:38:35,portscan,TCP Portscan,1,1,1
2011-04-13 10:39:03,portscan,TCP Portscan,1,1,1
2011-04-13 10:39:42,portscan,TCP Portscan,1,1,1
2011-04-13 10:39:56,portscan,TCP Portscan,1,1,1
2011-04-13 10:40:36,portscan,TCP Portscan,1,1,1
2011-04-13 10:40:49,portscan,TCP Portsweep,1,1,1
2011-04-13 10:41:37,portscan,TCP Portscan,1,1,1
2011-04-13 10:41:45,portscan,TCP Portscan,1,1,1
2011-04-13 10:42:30,portscan,TCP Portscan,1,1,1
2011-04-13 10:42:55,portscan,TCP Portscan,1,1,1
2011-04-13 10:43:53,portscan,TCP Portscan,1,1,1
2011-04-13 10:43:59,portscan,TCP Portscan,1,1,1
2011-04-13 10:44:16,portscan,TCP Portsweep,1,1,1
2011-04-13 10:44:43,portscan,TCP Portscan,1,1,1
2011-04-13 10:44:59,portscan,TCP Portscan,1,1,1
2011-04-13 10:45:59,portscan,TCP Portscan,1,1,1
2011-04-13 10:46:31,portscan,TCP Portscan,1,1,1
2011-04-13 10:46:43,portscan,TCP Portscan,1,1,1
2011-04-13 10:47:20,portscan,TCP Portscan,1,1,1
2011-04-13 10:48:22,portscan,TCP Portscan,1,1,1
2011-04-13 10:48:46,portscan,TCP Portscan,1,1,1
2011-04-13 10:48:48,portscan,TCP Portscan,1,1,1
2011-04-13 10:50:23,portscan,TCP Portscan,1,1,1
2011-04-13 10:50:33,portscan,TCP Portscan,1,1,1
2011-04-13 10:51:58,portscan,TCP Portscan,1,1,1
2011-04-13 10:52:00,spp_frag3,Fragmentation overlap,18,2,2
2011-04-13 10:52:06,portscan,TCP Portscan,1,1,1
2011-04-13 10:52:39,portscan,TCP Portscan,1,1,1
2011-04-13 10:52:40,portscan,TCP Portscan,1,1,1
2011-04-13 10:53:26,portscan,TCP Portscan,1,1,1
2011-04-13 10:53:48,spp_frag3,Fragmentation overlap,6,2,2
2011-04-13 10:53:57,portscan,TCP Portsweep,2,1,1
2011-04-13 10:54:56,portscan,TCP Portscan,1,1,1
2011-04-13 10:55:06,portscan,TCP Portscan,1,1,1
2011-04-13 10:55:28,portscan,TCP Portsweep,1,1,1
2011-04-13 10:56:20,portscan,TCP Portscan,1,1,1
2011-04-13 10:56:40,portscan,TCP Portsweep,1,1,1
2011-04-13 10:56:46,portscan,TCP Portscan,1,1,1
2011-04-13 10:56:51,portscan,TCP Portscan,1,1,1
2011-04-13 10:57:46,portscan,TCP Portscan,1,1,1
2011-04-13 10:58:28,portscan,TCP Portscan,1,1,1
2011-04-13 10:58:51,spp_frag3,Fragmentation overlap,6,2,2
2011-04-13 10:58:57,portscan,TCP Portscan,1,1,1
2011-04-13 10:59:01,portscan,TCP Portscan,1,1,1
2011-04-13 11:00:33,portscan,TCP Portscan,1,1,1
2011-04-13 11:01:34,portscan,TCP Portscan,1,1,1
2011-04-13 11:03:14,portscan,TCP Portscan,1,1,1
2011-04-13 11:03:46,portscan,TCP Portscan,1,1,1
2011-04-13 11:04:15,portscan,TCP Portscan,1,1,1
2011-04-13 11:05:11,portscan,TCP Portsweep,1,1,1
2011-04-13 11:05:16,portscan,TCP Portscan,1,1,1
2011-04-13 11:05:25,portscan,TCP Portscan,1,1,1
2011-04-13 11:05:31,portscan,TCP Portsweep,1,1,1
2011-04-13 11:06:39,portscan,TCP Portscan,1,1,1
2011-04-13 11:07:22,portscan,TCP Portscan,1,1,1
2011-04-13 11:07:40,portscan,TCP Portscan,1,1,1
2011-04-13 11:08:38,portscan,TCP Portscan,1,1,1
2011-04-13 11:08:49,portscan,TCP Portscan,1,1,1
2011-04-13 11:09:20,portscan,TCP Portscan,1,1,1
2011-04-13 11:09:40,portscan,TCP Portscan,1,1,1
2011-04-13 11:10:26,portscan,TCP Portscan,1,1,1
2011-04-13 11:10:34,portscan,TCP Portscan,1,1,1
2011-04-13 11:11:30,spp_frag3,Fragmentation overlap,6,2,2
2011-04-13 11:11:53,portscan,TCP Portscan,1,1,1
2011-04-13 11:12:32,spp_frag3,Fragmentation overlap,7,2,2
2011-04-13 11:12:53,portscan,TCP Portscan,1,1,1
2011-04-13 11:13:54,portscan,TCP Portsweep,2,1,1
2011-04-13 11:14:53,portscan,TCP Portscan,1,1,1
2011-04-13 11:15:05,portscan,TCP Portscan,1,1,1
2011-04-13 11:15:07,portscan,TCP Portsweep,1,1,1
2011-04-13 11:15:10,snort_decoder,Tcp Window Scale Option found with length > 14,234,30,1
2011-04-13 11:15:11,snort_decoder,Tcp Window Scale Option found with length > 14,4,1,1
2011-04-13 11:15:12,snort_decoder,Tcp Window Scale Option found with length > 14,2,1,1
2011-04-13 11:15:14,snort_decoder,Tcp Window Scale Option found with length > 14,234,30,1
2011-04-13 11:15:15,snort_decoder,Tcp Window Scale Option found with length > 14,4,1,1
2011-04-13 11:15:16,snort_decoder,Tcp Window Scale Option found with length > 14,138,35,2
2011-04-13 11:15:17,snort_decoder,Tcp Window Scale Option found with length > 14,136,34,1
2011-04-13 11:15:18,snort_decoder,Tcp Window Scale Option found with length > 14,136,34,1
2011-04-13 11:15:19,snort_decoder,Tcp Window Scale Option found with length > 14,136,34,1
2011-04-13 11:16:03,portscan,TCP Portscan,1,1,1
2011-04-13 11:16:05,portscan,TCP Portscan,1,1,1
2011-04-13 11:16:47,snort_decoder,Tcp Window Scale Option found with length > 14,116,29,1
2011-04-13 11:16:48,snort_decoder,Tcp Window Scale Option found with length > 14,120,30,1
2011-04-13 11:16:49,snort_decoder,Tcp Window Scale Option found with length > 14,4,1,1
2011-04-13 11:16:51,snort_decoder,Tcp Window Scale Option found with length > 14,176,30,1
2011-04-13 11:16:52,snort_decoder,Tcp Window Scale Option found with length > 14,60,30,1
2011-04-13 11:16:53,snort_decoder,Tcp Window Scale Option found with length > 14,72,35,2
2011-04-13 11:16:54,snort_decoder,Tcp Window Scale Option found with length > 14,204,34,1
2011-04-13 11:16:55,snort_decoder,Tcp Window Scale Option found with length > 14,136,34,1
2011-04-13 11:16:56,snort_decoder,Tcp Window Scale Option found with length > 14,136,34,1
2011-04-13 11:17:04,portscan,TCP Portscan,1,1,1
2011-04-13 11:17:16,portscan,TCP Portscan,1,1,1
2011-04-13 11:17:37,snort_decoder,Tcp Window Scale Option found with length > 14,116,29,1
2011-04-13 11:17:38,snort_decoder,Tcp Window Scale Option found with length > 14,120,30,1
2011-04-13 11:17:39,snort_decoder,Tcp Window Scale Option found with length > 14,4,1,1
2011-04-13 11:17:41,snort_decoder,Tcp Window Scale Option found with length > 14,118,30,1
2011-04-13 11:17:42,snort_decoder,Tcp Window Scale Option found with length > 14,118,30,1
2011-04-13 11:17:43,snort_decoder,Tcp Window Scale Option found with length > 14,72,35,2
2011-04-13 11:17:44,snort_decoder,Tcp Window Scale Option found with length > 14,204,34,1
2011-04-13 11:17:45,snort_decoder,Tcp Window Scale Option found with length > 14,68,34,1
2011-04-13 11:17:46,snort_decoder,Tcp Window Scale Option found with length > 14,204,34,1
2011-04-13 11:18:46,portscan,TCP Portscan,1,1,1
2011-04-13 11:19:17,portscan,TCP Portscan,1,1,1
2011-04-13 11:20:22,portscan,TCP Portscan,1,1,1
2011-04-13 11:20:23,portscan,TCP Portscan,1,1,1
2011-04-13 11:21:45,portscan,TCP Portscan,1,1,1
2011-04-13 11:22:04,portscan,TCP Portscan,1,1,1
2011-04-13 11:23:03,portscan,TCP Portscan,1,1,1
2011-04-13 11:24:15,portscan,TCP Portscan,1,1,1
2011-04-13 11:24:56,portscan,TCP Portscan,1,1,1
2011-04-13 11:25:06,portscan,TCP Portscan,1,1,1
2011-04-13 11:26:21,portscan,TCP Portscan,1,1,1
2011-04-13 11:26:32,portscan,TCP Portscan,1,1,1
2011-04-13 11:27:14,portscan,TCP Portscan,1,1,1
2011-04-13 11:28:22,portscan,TCP Portscan,1,1,1
2011-04-13 11:30:09,portscan,TCP Portscan,2,2,1
2011-04-13 11:31:04,portscan,TCP Portscan,1,1,1
2011-04-13 11:31:35,portscan,TCP Portscan,1,1,1
2011-04-13 11:32:10,portscan,TCP Portscan,1,1,1
2011-04-13 11:32:42,portscan,TCP Portscan,1,1,1
2011-04-13 11:33:46,portscan,TCP Portscan,1,1,1
2011-04-13 11:33:54,portscan,TCP Portscan,1,1,1
2011-04-13 11:34:53,portscan,TCP Portscan,1,1,1
2011-04-13 11:35:40,portscan,TCP Portscan,1,1,1
2011-04-13 11:35:45,portscan,TCP Portscan,1,1,1
2011-04-13 11:36:19,portscan,TCP Portscan,1,1,1
2011-04-13 11:37:26,portscan,TCP Portscan,1,1,1
2011-04-13 11:37:37,portscan,TCP Portscan,1,1,1
2011-04-13 11:38:04,portscan,TCP Portscan,1,1,1
2011-04-13 11:38:47,snort_decoder,Tcp Window Scale Option found with length > 14,180,30,1
2011-04-13 11:38:48,snort_decoder,Tcp Window Scale Option found with length > 14,60,30,1
2011-04-13 11:38:49,snort_decoder,Tcp Window Scale Option found with length > 14,60,30,1
2011-04-13 11:38:50,snort_decoder,Tcp Window Scale Option found with length > 14,200,40,2
2011-04-13 11:38:51,snort_decoder,Tcp Window Scale Option found with length > 14,56,28,1
2011-04-13 11:38:52,snort_decoder,Tcp Window Scale Option found with length > 14,196,34,1
2011-04-13 11:38:53,snort_decoder,Tcp Window Scale Option found with length > 14,136,34,1
2011-04-13 11:38:54,snort_decoder,Tcp Window Scale Option found with length > 14,136,34,1
2011-04-13 11:39:26,spp_frag3,Fragmentation overlap,6,2,2
2011-04-13 11:39:27,portscan,TCP Portscan,1,1,1
2011-04-13 11:39:56,portscan,TCP Portscan,1,1,1
2011-04-13 11:39:58,portscan,TCP Portscan,1,1,1
2011-04-13 11:40:18,snort_decoder,Tcp Window Scale Option found with length > 14,240,30,1
2011-04-13 11:40:20,snort_decoder,Tcp Window Scale Option found with length > 14,240,30,1
2011-04-13 11:40:22,snort_decoder,Tcp Window Scale Option found with length > 14,272,34,1
2011-04-13 11:40:24,snort_decoder,Tcp Window Scale Option found with length > 14,272,34,1
2011-04-13 11:41:07,snort_decoder,Tcp Window Scale Option found with length > 14,60,30,1
2011-04-13 11:41:08,snort_decoder,Tcp Window Scale Option found with length > 14,181,31,2
2011-04-13 11:41:10,snort_decoder,Tcp Window Scale Option found with length > 14,240,30,1
2011-04-13 11:41:12,snort_decoder,Tcp Window Scale Option found with length > 14,272,34,1
2011-04-13 11:41:14,snort_decoder,Tcp Window Scale Option found with length > 14,272,34,1
2011-04-13 11:41:15,portscan,TCP Portscan,1,1,1
2011-04-13 11:42:14,portscan,TCP Portscan,1,1,1
2011-04-13 11:42:16,portscan,TCP Portscan,1,1,1
2011-04-13 11:42:41,portscan,TCP Portscan,1,1,1
2011-04-13 11:43:26,portscan,TCP Portscan,2,1,2
2011-04-13 11:43:29,COMMUNITY,SIP TCP/IP message flooding directed to SIP proxy,1,1,1
2011-04-13 11:43:36,COMMUNITY,SIP TCP/IP message flooding directed to SIP proxy,1,1,1
2011-04-13 11:43:37,COMMUNITY,SIP TCP/IP message flooding directed to SIP proxy,1,1,1
